"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"Adenosylcobalamin","RP",2,"50 - >10000","2.774","5.5","5 - >10000","1.06","2.6","Vitamin B12","Coenzyme B12","Adenosyl B12","C72H100CoN18O17P",5.4,790.3367,"[2M+H]","cpd:C00194","ChEBI:18408","CyanoAq","CyanoDCM",0.25,NA,160401,"Cobamide coenzyme; Adenosylcobalamin; Adenosylcob(III)alamin; Deoxyadenosylcobalamin; Cobamamide; Vitamin B12 coenzyme; 5,6-Dimethylbenzimidazolyl-5-deoxyadenosyl-cobamide; (5'-Deoxy-5'-adenosyl)cobamide coenzyme; (5,6-Dimethylbenzimidazolyl)cobamide coenzyme; alpha-(5,6-Dimethylbenzimidazolyl)cobamide coenzyme; 5'-Deoxy-5'-adenosylcobalamin; 5'-Deoxy-5'-adenosyl vitamin B12; 5'-Deoxy-5'-adenosyl-5,6-dimethylbenzimidazolylcobamide; 5,6-Dimethylbenzimidazolyl-Co-5'-deoxy-5'-adenosylcobamide; Calomide; Cobalamin coenzyme; Coenzyme B12; DMBC coenzyme; Dibencozide; Funacomide","Adenosylcobalamin","ChEBI:18408",70678541,"C72H100CoN18O17P-3","DFDCDQDATCDZSO-OUCXYWSSSA-L","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[CH2-]C1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O.[Co]","(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-methanidyloxolane-3,4-diol;cobalt;[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,4Z,7S,9Z,12S,13S,14Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl] phosphate",NA
"Coenzyme Q1","RP",1,"50 - >10000","1.283","2.9","<0.5 - >10000","1.029","3.8","Quinone","Coenzyme Q1","Coenzyme Q1","C14H18O4",9.35,251.128335,"[M+H]",NA,"ChEBI:46234","CyanoAq","CyanoDCM",0.25,NA,160401,NA,"Coenzyme Q1",NA,NA,NA,NA,NA,NA,NA
"Coenzyme Q10","RP",1,"50 - >10000","13.29","15.3","5 - >10000","0.933","5.1","Quinone","Coenzyme Q10","Coenzyme Q10","C59H90O4",16.61,863.691735,"[M+H]","cpd:C11378","ChEBI:46245","CyanoAq","CyanoDCM",0.25,NA,160401,"Ubiquinone-10; Ubidecarenone; Coenzyme Q10","Coenzyme Q10","ChEBI:46245",5281915,"C59H90O4","ACTIUHUUMQJHFO-UPTCCGCDSA-N","CC1=C(C(=O)C(=C(C1=O)OC)OC)CC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)CCC=C(C)C","2-[(2E,6E,10E,14E,18E,22E,26E,30E,34E)-3,7,11,15,19,23,27,31,35,39-decamethyltetraconta-2,6,10,14,18,22,26,30,34,38-decaenyl]-5,6-dimethoxy-3-methylcyclohexa-2,5-diene-1,4-dione",NA
"L-Cysteinylglycine","RP",1,NA,NA,NA,NA,NA,NA,"New","Cys-Gly","Cys-Gly","C5H10N2O3S",0.72,179.04904,"[M+H]","cpd:C01419","ChEBI:4047","CyanoAq","CyanoDCM",0.25,NA,170331,"Cys-Gly; L-Cysteinylglycine","Cys Gly","ChEBI:4047",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Dipeptides; level 7: Dipeptides; level 8: Dipeptides"
"Decarboxylated S-Adenosylmethionine","RP",1,NA,NA,NA,NA,NA,NA,"New2","Decarboxylated S-Adenosylmethionine","D-SAM","C14H23N6O3S",0.68,355.155236,"[M]",NA,NA,"CyanoAq","CyanoDCM",0.5,NA,180130,NA,"D SAM",NA,NA,NA,NA,NA,NA,NA
"Desthiobiotin","RP",1,"5 - >10000","0.894","2.4","May-00","0.757","2.4","Vitamin","Desthiobiotin","Desthiobiotin","C10H18N2O3",4.5,215.139568,"[M+H]","cpd:C01909","ChEBI:16691","CyanoAq","CyanoDCM",0.25,NA,160401,"Dethiobiotin; Desthiobiotin","Desthiobiotin","ChEBI:16691",643,"C10H18N2O3","AUTOLBMXDDTRRT-UHFFFAOYSA-N","CC1C(NC(=O)N1)CCCCCC(=O)O","6-(5-methyl-2-oxoimidazolidin-4-yl)hexanoic acid",NA
"Docosahexaenoic acid","RP",1,"5000 - >10000","2.031","31.8","50 - >10000","2.077","17.4","Fatty Acid","DHA","DHA","C22H32O2",12.23,329.248055,"[M+H]","cpd:C06429","ChEBI:36005","CyanoAq","CyanoDCM",0.25,NA,160401,"(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid; 4,7,10,13,16,19-Docosahexaenoic acid; Docosahexaenoic acid; Docosahexaenoate; 4Z,7Z,10Z,13Z,16Z,19Z-Docosahexaenoic acid; (4Z,7Z,10Z,13Z,16Z,19Z)-Docosa-4,7,10,13,16,19-hexaenoic acid","Docosahexaenoic acid","ChEBI:28125",445580,"C22H32O2","MBMBGCFOFBJSGT-KUBAVDMBSA-N","CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O","(4Z,7Z,10Z,13Z,16Z,19Z)-docosa-4,7,10,13,16,19-hexaenoic acid",NA
"Dihydrozeatin","RP",-1,"nd","nd","nd","50 - 50","0.147","54.5","Phytohormone","DHZ","DHZ","C10H15N5O",2.01,NA,NA,"cpd:C02029","ChEBI:17874","CyanoAq","CyanoDCM",0.25,NA,160401,"Dihydrozeatin; 2-Methyl-4-(1H-purin-6-ylamino)butan-1-ol; N6-(4-Hydroxyisopentanyl)adenine","Dihydrozeatin","ChEBI:17874",439631,"C10H15N5O","XXFACTAYGKKOQB-ZETCQYMHSA-N","CC(CCNC1=NC=NC2=C1NC=N2)CO","(2S)-2-methyl-4-(7H-purin-6-ylamino)butan-1-ol",NA
"Dimethylglycine","RP",1,"50 - >10000","0.079","71.3","50 - 5000","0.059","9.1","Amino Acid derivative","Dimethyl glycine","DMG","C4H9NO2",0.69,104.071154,"[M+H]","cpd:C01026","ChEBI:17724","CyanoAq","CyanoDCM",0.25,NA,160401,"N,N-Dimethylglycine; Dimethylglycine","Dimethylglycine","ChEBI:17724",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids"
"Dimethylbenzimidazole","RP",1,"5 - >10000","0.934","2","<0.5 - >10000","0.92","1.2","Vitamin synthesis","Dimethyl-benzimidazole","DMB","C9H10N2",3.38,147.092223,"[M+H]","cpd:C03114","ChEBI:15890","CyanoAq","CyanoDCM",0.25,NA,160401,"Dimethylbenzimidazole; 5,6-Dimethylbenzimidazole","Dimethylbenzimidazole","ChEBI:15890",NA,NA,NA,NA,NA,NA
"Docosahexaenoic acid, 2H5","RP",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Docosahexaenoic Acid, D5","Docosahexaenoic Acid, D5","C22H28D5O2",12.23,334.2789,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",2,NA,170301,NA,"Docosahexaenoic Acid D5",NA,NA,NA,NA,NA,NA,NA
"Domoic acid","RP",1,"5 - >10000","0.836","1.3","5 - >10000","0.897","2.8","Toxin ","Domoic Acid","Domoic acid","C15H21NO6",2.72,312.144714,"[M+H]","cpd:C13732","ChEBI:34727","CyanoAq","CyanoDCM",0.25,NA,160401,"Domoic acid","Domoic acid","ChEBI:34727",5282253,"C15H21NO6","VZFRNCSOCOPNDB-AOKDLOFSSA-N","CC(C=CC=C(C)C1CNC(C1CC(=O)O)C(=O)O)C(=O)O","(2S,3S,4S)-4-[(2Z,4E,6R)-6-carboxyhepta-2,4-dien-2-yl]-3-(carboxymethyl)pyrrolidine-2-carboxylic acid",NA
"Eicosapentaenoic acid, 2H5","RP",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Eicosapentaenoic Acid, D5","Eicosapentaenoic Acid, D5","C20H26D5O2",12.095,308.2632,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",5,NA,170301,NA,"Eicosapentaenoic Acid D5",NA,NA,NA,NA,NA,NA,NA
"Eicosapentaenoic acid","RP",1,"5000 - >10000","10.797","6.4","50 - >10000","4.079","13.3","Fatty Acid","EPA","EPA","C20H30O2",12.095,303.232404,"[M+H]","cpd:C06428","ChEBI:28364","CyanoAq","CyanoDCM",1,NA,160401,"(5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid; Eicosapentaenoic acid; 5,8,11,14,17-Icosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoate; (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoate; 5Z,8Z,11Z,14Z,17Z-Eicosapentaenoic acid; (5Z,8Z,11Z,14Z,17Z)-Icosa-5,8,11,14,17-pentaenoic acid","Eicosapentaenoic acid","ChEBI:28364",446284,"C20H30O2","JAZBEHYOTPTENJ-JLNKQSITSA-N","CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O","(5Z,8Z,11Z,14Z,17Z)-icosa-5,8,11,14,17-pentaenoic acid",NA
"Ergosterol","RP",1,"50 - 5000","0.489","10.8","50 - 5000","0.533","6.3","Sterol","Ergosterol","Ergosterol","C28H44O",13.76,379.336475,"[M-OH]","cpd:C01694","ChEBI:16933","CyanoAq","CyanoDCM",0.25,NA,160401,"Ergosterol; Provitamin D2","Ergosterol","ChEBI:16933",444679,"C28H44O","DNVPQKQSNYMLRS-APGDWVJJSA-N","CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C","(3S,9S,10R,13R,14R,17R)-17-[(E,2R,5R)-5,6-dimethylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,9,11,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthren-3-ol",NA
"Ethyl aminobenzoate","RP",1,"5 - >10000","0.924","3","<0.5 - 500","0.38","27.6","Lignin","Ethyl 3 aminobenzoate","Ethyl aminobenzoate","C9H11NO2",3.365,166.086804,"[M+H]","cpd:C07527","ChEBI:116735","CyanoAq","CyanoDCM",0.25,NA,160401,"Benzocaine; Ethyl aminobenzoate","Ethyl aminobenzoate","ChEBI:116735",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Benzoic_acids_and_derivatives; level 5: Benzoic_acid_esters; level 6: Benzoic_acid_esters; level 7: Benzoic_acid_esters; level 8: Benzoic_acid_esters"
"Ferulic acid","RP",1,"50 - >10000","0.852","4.5","5 - >10000","0.611","12.2","Lignin","Ferulic Acid","Ferulic acid","C10H10O4",5.97,195.065735,"[M+H]","cpd:C01494","ChEBI:17620","CyanoAq","CyanoDCM",0.25,NA,160401,"Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate","Ferulic acid","ChEBI:17620",445858,"C10H10O4","KSEBMYQBYZTDHS-HWKANZROSA-N","COC1=C(C=CC(=C1)C=CC(=O)O)O","(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid",NA
"Gibberellin A3","RP",-1,"nd","nd","nd","5 - >10000","0.437","15.7","Phytohormone","GA3","GA3","C19H22O6",5.16,NA,NA,"cpd:C01699","ChEBI:28833","CyanoAq","CyanoDCM",0.25,NA,160401,"Gibberellin A3; Gibberellic acid; Gibberellin","Gibberellin A3","ChEBI:28833",439551,"C19H22O6","IXORZMNAPKEEDV-QTWFBFKQSA-N","CC12C(C=CC3(C1C(C45C3CCC(C4)(C(=C)C5)O)C(=O)O)OC2=O)O","(1R,2R,5S,8S,9S,10R,12S)-5,12-dihydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadec-13-ene-9-carboxylic acid",NA
"Gibberellin A4","RP",-1,"nd","nd","nd","5 - >10000","0.603","4.4","Phytohormone","GA4","GA4","C19H24O5",8.18,NA,NA,"cpd:C11864","ChEBI:32902","CyanoAq","CyanoDCM",0.25,NA,160401,"Gibberellin A4","Gibberellin A4","ChEBI:32902",92109,"C19H24O5","RSQSQJNRHICNNH-NFMPGMCNSA-N","CC12C(CCC3(C1C(C45C3CCC(C4)C(=C)C5)C(=O)O)OC2=O)O","(1R,2R,5R,8R,9S,10R,11S,12S)-12-hydroxy-11-methyl-6-methylidene-16-oxo-15-oxapentacyclo[9.3.2.15,8.01,10.02,8]heptadecane-9-carboxylic acid",NA
"D-Glucosamine","RP",1,NA,NA,NA,NA,NA,NA,"New2","Glucosamine","D-Glucosamine","C6H13NO5",0.65,180.087199,"[M+H]",NA,"ChEBI:5417","CyanoAq","CyanoDCM",NA,NA,180130,NA,"D Glucosamine",NA,439213,"C6H13NO5","MSWZFWKMSRAUBD-IVMDWMLBSA-N","C(C1C(C(C(C(O1)O)N)O)O)O","(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol",NA
"Glutathione","RP",1,"50 - >10000","0.025","97.5","May-00","0.001","40.2","Antioxidant","Glutathione","Glutathione","C10H17N3O6S",0.87,308.091634,"[M+H]","cpd:C00051","ChEBI:16856","CyanoAq","CyanoDCM",0.25,NA,160401,"Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione","Glutathione","ChEBI:16856",124886,"C10H17N3O6S","RWSXRVCMGQZWBV-WDSKDSINSA-N","C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N","(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Peptides; level 7: Peptides; level 8: Peptides"
"Glutathione disulfide","RP",1,NA,NA,NA,NA,NA,NA,"Sulfur","Glutathione Disulfide","GSSG","C20H32N6O12S2",0.92,613.159793,"[M+H]","cpd:C00127","ChEBI:17858","CyanoAq","CyanoDCM",0.5,NA,180130,"Glutathione disulfide; GSSG; Oxiglutatione; Oxidized glutathione","Glutathione disulfide","ChEBI:167606",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Peptides; level 7: Peptides; level 8: Peptides"
"Glycerophosphocholine","RP",1,NA,NA,NA,NA,NA,NA,"New2","Glycerophosphocholine","GPP","C8H21NO6P",0.66,258.110652,"[M]","cpd:C00670","ChEBI:36313","CyanoAq","CyanoDCM",NA,NA,180130,"sn-Glycero-3-phosphocholine; Glycerophosphocholine","Glycerophosphocholine","ChEBI:16870",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Glycerophosphocholines; level 6: Glycerophosphocholines; level 7: Glycerophosphocholines; level 8: Glycerophosphocholines"
"2-Heptyl-4(1H)-quinolone","RP",1,"<0.5 - >10000","0.949","3.7","<0.5 - 50","0.948","1.4","Quorum sensing","HHQ","HHQ","C16H21NO",11.02,244.170139,"[M+H]","cpd:C20643","ChEBI:62219","CyanoAq","CyanoDCM",0.25,NA,160401,"2-Heptyl-4(1H)-quinolone; 2-Heptyl-4-quinolone; 2-Heptyl-4-hydroxyquinoline","HHQ",NA,NA,NA,NA,NA,NA,NA
"Homoserine lactone","RP",1,NA,NA,NA,NA,NA,NA,"New2","Homoserine lactone","AHL","C4H7NO2",0.68,102.055504,"[M+H]","cpd:C02926","ChEBI:17289","CyanoAq","CyanoDCM",0.25,NA,180130,"Homoserine lactone; 2-Aminobutan-4-olide","Homoserine lactone","ChEBI:17289",73509,"C4H7NO2","QJPWUUJVYOJNMH-UHFFFAOYSA-N","C1COC(=O)C1N","3-aminooxolan-2-one",NA
"Hydroxocobalamin","RP",2,"50 - >10000","0.662","2.7","50 - >10000","0.452","5.2","Vitamin B12","Hydroxo B12","Hydroxo B12","C62H89CoN13O15P",4.35,664.7861,"[2M-OH]","cpd:C08230","ChEBI:27786","CyanoAq","CyanoDCM",0.25,NA,160401,"Hydroxocobalamin; Vitamin B12a; Hydroxycobalamin; Hydroxycob(lll)alamin","Hydroxocobalamin","ChEBI:27786",70678542,"C62H90CoN13O15P-2","ITFLMCXLENHUAD-WZHZPDAFSA-L","CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)([O-])OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=N7)C=C8C(C(C(=N8)C(=C4[N-]5)C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.O.[Co]","cobalt;[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] [(2R)-1-[3-[(1R,2R,3R,4Z,7S,9Z,12S,13S,14Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-21-id-3-yl]propanoylamino]propan-2-yl] phosphate;hydrate",NA
"Indole-3-acetic acid","RP",1,"50 - >10000","0.904","3.2","<0.5 - >10000","0.757","4.4","Phytohormone","IAA","IAA","C10H9NO2",5.41,176.071154,"[M+H]","cpd:C00954","ChEBI:16411","CyanoAq","CyanoDCM",0.25,NA,160401,"Indole-3-acetate; Indole-3-acetic acid; (Indol-3-yl)acetate; Indoleacetate; Indoleacetic acid; (1H-indol-3-yl)acetate; IAA","IAA","ChEBI:16411",802,"C10H9NO2","SEOVTRFCIGRIMH-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CC(=O)O","2-(1H-indol-3-yl)acetic acid",NA
"Indole-3-acetamide","RP",1,"50 - >10000","0.967","3.2","5 - >10000","0.844","5.8","Phytohormone","Indole 3 acetamide","Indole 3 acetamide","C10H10N2O",4.02,175.087138,"[M+H]","cpd:C02693","ChEBI:16031","CyanoAq","CyanoDCM",0.25,NA,160401,"(Indol-3-yl)acetamide; Indole-3-acetamide","Indole 3 acetamide","ChEBI:16031",397,"C10H10N2O","ZOAMBXDOGPRZLP-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CC(=O)N","2-(1H-indol-3-yl)acetamide",NA
"Indole-3-acetic acid, 2H5","RP",1,NA,NA,NA,NA,NA,NA,"Internal Standard","Indole 3 Acetic Acid, D5","Indole 3 Acetic Acid, D5","C10D5H4NO2",5.35,181.1021,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",5,NA,160401,NA,"Indole 3 Acetic Acid D5",NA,NA,NA,NA,NA,NA,NA
"Indole-3-carboxylic acid","RP",1,"50 - >10000","0.92","13.5","5 - >10000","0.824","3.7","Phytohormone","Indole 3 carboxylic acid","Indole-3-carboxylic acid","C9H7NO2",5.44,162.055503,"[M+H]","cpd:C19837","ChEBI:24809","CyanoAq","CyanoDCM",0.25,NA,160401,"Indole-3-carboxylate; Indole-3-carboxylic acid","Indole 3 carboxylic acid",NA,69867,"C9H7NO2","KMAKOBLIOCQGJP-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)C(=O)O","1H-indole-3-carboxylic acid",NA
"Indolelactate","RP",1,"50 - >10000","1.867","1.5","5 - >10000","0.843","4.8","Phytohormone","Indole 3 Lactic Acid","Indole 3 Lactic Acid","C11H11NO3",4.65,206.081719,"[M+H]","cpd:C02043","ChEBI:24813","CyanoAq","CyanoDCM",0.25,NA,160401,"Indolelactate","Indolelactate","ChEBI:17282",NA,NA,NA,NA,NA,NA
"Methyl indole-3-acetate","RP",1,"50 - >10000","0.933","5.1","5 - >10000","0.754","2.6","Phytohormone","Indole 3 methyl acetate","Indole-3-methyl acetate","C11H11NO2",7.31,190.086804,"[M+H]","cpd:C20635","ChEBI:72782","CyanoAq","CyanoDCM",0.25,NA,160401,"Methyl (indol-3-yl)acetate","Indole 3 methyl acetate",NA,NA,NA,NA,NA,NA,NA
"Indoleacrylic acid","RP",1,NA,NA,NA,NA,NA,NA,"New2","Indoleacrylic acid","IAA","C11H9NO2",6.76,188.071154,"[M+H]",NA,"ChEBI:132244","CyanoAq","CyanoDCM",0.5,NA,180130,NA,"Indoleacrylic acid",NA,NA,NA,NA,NA,NA,NA
"Isobutyryl-carnitine","RP",1,NA,NA,NA,NA,NA,NA,"New2","Isobutyryl-L-carnitine","carnitine","C11H21NO4",1.3,232.154884,"[M+H]",NA,"ChEBI:84838","CyanoAq","CyanoDCM",4,NA,180130,NA,"carnitine",NA,NA,NA,NA,NA,NA,NA
"Kinetin","RP",1,"5000 - >10000","0.962","6.1","<0.5 - >10000","0.879","0.9","Phytohormone","Kinetin","Kinetin","C10H9N5O",3.37,216.088535,"[M+H]","cpd:C08272","ChEBI:27407","CyanoAq","CyanoDCM",0.25,NA,160401,"Kinetin; 6-Furfuryladenine","Kinetin","ChEBI:27407",3830,"C10H9N5O","QANMHLXAZMSUEX-UHFFFAOYSA-N","C1=COC(=C1)CNC2=NC=NC3=C2NC=N3","N-(furan-2-ylmethyl)-7H-purin-6-amine",NA
"L-Kynurenine","RP",1,NA,"0.564","4.1",NA,"0.482","4.6","Amino Acid","Kynurenine","Kynurenine","C10H12N2O3",1.27,209.092618,"[M+H]","cpd:C00328","ChEBI:16946","CyanoAq","CyanoDCM",0.25,NA,160401,"L-Kynurenine; 3-Anthraniloyl-L-alanine","Kynurenine","ChEBI:16946",161166,"C10H12N2O3","YGPSJZOEDVAXAB-QMMMGPOBSA-N","C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N","(2S)-2-amino-4-(2-aminophenyl)-4-oxobutanoic acid","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbonyl_compounds; level 5: Ketones; level 6: Aryl_ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones"
"L-Phenylalanine, 2H8","RP",1,NA,NA,NA,NA,NA,NA,"Internal Standard","L-Phenylalanine, D8","Phenylalanine, D8","C9D8H3O2",1.15,174.1365,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.1,NA,160401,NA,"Phenylalanine D8",NA,NA,NA,NA,NA,NA,NA
"L-Tryptophan, 2H3","RP",1,NA,NA,NA,NA,NA,NA,"Internal Standard","L-Tryptophan, D3","Tryptophan, D3","C11D3H9N2O2",2.23,208.1161,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.1,NA,160401,NA,"Tryptophan D3",NA,NA,NA,NA,NA,NA,NA
"Melatonin","RP",1,"5 - >10000","1.492","3.3","<0.5 - 500","1.121","1","Circadian","Melatonin","Melatonin","C13H16N2O2",6.51,233.129003,"[M+H]","cpd:C01598","ChEBI:16796","CyanoAq","CyanoDCM",0.25,NA,160401,"Melatonin; N-Acetyl-5-methoxytryptamine","Melatonin","ChEBI:16796",896,"C13H16N2O2","DRLFMBDRBRZALE-UHFFFAOYSA-N","CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC","N-[2-(5-methoxy-1H-indol-3-yl)ethyl]acetamide",NA
"Methylcobalamin","RP",2,"50 - >10000","1.216","5.8","May-00","0.706","3.9","Vitamin B12","Methyl B12","Methyl B12","C63H91CoN13O14P",6.29,672.8011,"[2M+H]","cpd:C06453","ChEBI:28115","CyanoAq","CyanoDCM",0.25,NA,160401,"Methylcobalamin; Methylcob(III)alamin","Methylcobalamin","ChEBI:28115",123134034,"C63H92CoN13O14P","QXOMMGINPOYKPR-WYVZQNDMSA-M","[CH3-].CC1=CC2=C(C=C1C)N(C=N2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=C(C7=NC(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=O)N)C(C7(C)CC(=O)N)CCC(=O)N)C)[N-]6)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[Co+2]","carbanide;cobalt(2+);[(2R,3S,4R,5S)-5-(5,6-dimethylbenzimidazol-1-yl)-4-hydroxy-2-(hydroxymethyl)oxolan-3-yl] 1-[3-[(1R,2R,3R,5Z,7S,10Z,12S,13S,15Z,17S,18S,19R)-2,13,18-tris(2-amino-2-oxoethyl)-7,12,17-tris(3-amino-3-oxopropyl)-3,5,8,8,13,15,18,19-octamethyl-2,7,12,17-tetrahydro-1H-corrin-24-id-3-yl]propanoylamino]propan-2-yl hydrogen phosphate",NA
"Methyl indole-3-carboxylate","RP",1,"5 - >10000","0.953","8.9","<0.5 - >10000","0.918","1.8","Phytohormone","Methyl indole 3 carboxylate","Methyl indole-3-carboxylate","C10H9NO2",7.25,176.071154,"[M+H]",NA,NA,"CyanoAq","CyanoDCM",0.25,NA,160401,NA,"Methyl indole 3 carboxylate",NA,589098,"C10H9NO2","QXAUTQFAWKKNLM-UHFFFAOYSA-N","COC(=O)C1=CNC2=CC=CC=C21","methyl 1H-indole-3-carboxylate",NA
"Methylthioadenosine","RP",1,NA,NA,NA,NA,NA,NA,"Sulfur","Methylthioadenosine","MTA","C11H15N5O3S",2.1,298.097387,"[M+H]","cpd:C00170","ChEBI:17509","CyanoAq","CyanoDCM",0.25,NA,160401,"5'-Methylthioadenosine; Methylthioadenosine; S-Methyl-5'-thioadenosine; 5-Methylthioadenosine; 5'-Deoxy-5'-(methylthio)adenosine; Thiomethyladenosine; MTA; 5'-Deoxy-5'-(methylsulfanyl)adenosine","Methylthioadenosine","ChEBI:17509",NA,NA,NA,NA,NA,NA
