"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"Acetyl-CoA",808.117959,10.84,-1,"HILIC","Mix1",4,"[M-H]","Aq","Co-enzyme A","C23H38N7O17P3S",NA,NA,"cpd:C00024","Acetyl-CoA; Acetyl coenzyme A","ChEBI:15351","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] ethanethioate","ZSLZBFCDCINBPY-ZSJPKINUSA-N","CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs","Acetyl CoA","Acetyl-CoA","Acetyl CoA",160401,TRUE
"Crotonoyl-CoA",834.133609,8.45,-1,"HILIC","Mix1",4,"[M-H]","Aq","Co-enzyme A","C25H40N7O17P3S","C25H40N7O17P3S",5497143,"cpd:C00877","Crotonoyl-CoA; Crotonyl-CoA; 2-Butenoyl-CoA; trans-But-2-enoyl-CoA; But-2-enoyl-CoA; (E)-But-2-enoyl-CoA; (2E)-But-2-enoyl-CoA","ChEBI:15473","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (E)-but-2-enethioate","KFWWCMJSYSSPSK-PAXLJYGASA-N","CC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Enoyl CoAs; level 6: 2-enoyl CoAs","Crotonyl CoA","Crotonoyl-CoA","Crotonoyl CoA",160401,TRUE
"(S)-3-Hydroxybutyryl-CoA",852.144174,11.545,-1,"HILIC","Mix1",4,"[M-H]","Aq","Co-enzyme A","C25H42N7O18P3S","C25H42N7O18P3S",439419,"cpd:C01144","(S)-3-Hydroxybutanoyl-CoA; (S)-3-Hydroxybutyryl-CoA","ChEBI:15453","S-[2-[3-[[4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] (3S)-3-hydroxybutanethioate","QHHKKMYHDBRONY-BEVJUKKNSA-N","CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs; level 6: 3-hydroxyacyl CoAs; level 7: (S)-3-hydroxyacyl CoAs","Hydroxybutyryl CoA","Hydroxybutyryl CoA","Hydroxybutyryl CoA",160401,TRUE
"Malonyl-CoA",852.107789,13.525,-1,"HILIC","Mix1",4,"[M-H]","Aq","Co-enzyme A","C24H38N7O19P3S","C24H38N7O19P3S",644066,"cpd:C00083","Malonyl-CoA; Malonyl coenzyme A","ChEBI:15531","3-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-oxopropanoic acid","LTYOQGRJFJAKNA-DVVLENMVSA-N","CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs","Malonyl CoA","Malonyl-CoA","Malonyl CoA",160401,TRUE
"D-Methylmalonyl-CoA",866.123439,13.18,-1,"HILIC","Mix1",4,"[M-H]","Aq","Co-enzyme A","C25H40N7O19P3S",NA,NA,"cpd:C00683","(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA","ChEBI:15466","(2S)-3-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-2-methyl-3-oxopropanoic acid","MZFOKIKEPGUZEN-IBNUZSNCSA-N","CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs","Methyl Malonyl CoA","Methylmalonyl CoA","Methylmalonyl CoA",160401,TRUE
"Propionyl-CoA",822.133609,8.83,-1,"HILIC","Mix1",4,"[M-H]","Aq","Co-enzyme A","C24H40N7O17P3S","C24H40N7O17P3S",92753,"cpd:C00100","Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A","ChEBI:15539","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] propanethioate","QAQREVBBADEHPA-IEXPHMLFSA-N","CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs","Propionyl CoA","Propionyl-CoA","Propionyl CoA",160401,TRUE
"Succinyl-CoA",866.123439,12.965,-1,"HILIC","Mix1",4,"[M-H]","Aq","Co-enzyme A","C25H40N7O19P3S","C25H35N7O19P3S-5",45266545,"cpd:C00091","Succinyl-CoA; Succinyl coenzyme A","ChEBI:15380","4-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonatooxyoxolan-2-yl]methoxy-oxidophosphoryl]oxy-oxidophosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-oxobutanoate","VNOYUJKHFWYWIR-ITIYDSSPSA-I","CC(C)(COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])C(C(=O)NCCC(=O)NCCSC(=O)CCC(=O)[O-])O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acyl thioesters; level 5: Acyl CoAs","Succinyl CoA","Succinyl-CoA","Succinyl CoA",160401,TRUE
"Adenosine diphosphate",426.021596,12.09,-1,"HILIC","Mix2",4,"[M-H]","Aq","Energy charge","C10H15N5O10P2",NA,NA,"cpd:C00008","ADP; Adenosine 5'-diphosphate","ChEBI:16761","[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphono hydrogen phosphate","XTWYTFMLZFPYCI-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)O)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Purine ribonucleotides; level 5: Purine ribonucleoside diphosphates","ADP","ADP","Adenosine diphosphate",160401,TRUE
"Adenosine monophosphate",346.055262,11.585,-1,"HILIC","Mix2",4,"[M-H]","Aq","Energy charge","C10H14N5O7P","C10H14N5O7P",6083,"cpd:C00020","AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate","ChEBI:16027","[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","UDMBCSSLTHHNCD-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Purine ribonucleotides; level 5: Purine ribonucleoside monophosphates","AMP","AMP","Adenosine monophosphate",160401,TRUE
"Adenosine triphosphate",505.987929,15.35,-1,"HILIC","Mix2",4,"[M-H]","Aq","Energy charge","C10H16N5O13P3",NA,NA,"cpd:C00002","ATP; Adenosine 5'-triphosphate","ChEBI:15422","[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","ZKHQWZAMYRWXGA-KQYNXXCUSA-N","C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Purine ribonucleotides; level 5: Purine ribonucleoside triphosphates","ATP","ATP","Adenosine triphosphate",160401,TRUE
"Guanosine monophosphate",362.050178,13.85,-1,"HILIC","Mix2",4,"[M-H]","Aq","Energy charge","C10H14N5O8P",NA,NA,"cpd:C00144","GMP; Guanosine 5'-phosphate; Guanosine monophosphate; Guanosine 5'-monophosphate; Guanylic acid","ChEBI:17345","[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl dihydrogen phosphate","RQFCJASXJCIDSX-UUOKFMHZSA-N","C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)O)O)O)N=C(NC2=O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Purine ribonucleotides; level 5: Purine ribonucleoside monophosphates","GMP","GMP","Guanosine monophosphate",160401,TRUE
"Guanosine triphosphate",521.982844,16.58,-1,"HILIC","Mix2",4,"[M-H]","Aq","Energy charge","C10H16N5O14P3",NA,NA,"cpd:C00044","GTP; Guanosine 5'-triphosphate","ChEBI:15996","[[(2R,3S,4R,5R)-5-(2-amino-6-oxo-1H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] phosphono hydrogen phosphate","XKMLYUALXHKNFT-UUOKFMHZSA-N","C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N=C(NC2=O)N","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Purine ribonucleotides; level 5: Purine ribonucleoside triphosphates","GTP","GTP","Guanosine triphosphate",160401,TRUE
"Sarcosine",90.055504,10.6,1,"HILIC","Mix2",4,"[M+H]","Aq","Glycine metabolite","C3H7NO2","C3H7NO2",1088,"cpd:C00213","Sarcosine; N-Methylglycine","ChEBI:15611","2-(methylamino)acetic acid","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","CNCC(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids","Sarcosine","Sarcosine","Sarcosine",160401,TRUE
"Acetyl-CoA, 13C2",810.1252,10.84,-1,"HILIC",NA,1,"[M-H]","Aq","Internal Standard","C21C(13)2H38N7O17P3S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acetyl CoA, 13C2","Acetyl-CoA, 13C2","Acetyl CoA 13C2",160401,TRUE
"Adenosine monophosphate, 15N5",351.0411,11.585,-1,"HILIC",NA,5,"[M-H]","Aq","Internal Standard","C10H13N(15)5O7P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adenosine monophosphate, 15N5","AMP, 15N5","AMP 15N5",170301,NA
"DL-Alanine, 2H3",93.0738,11.3,1,"HILIC",NA,5,"[M+H]","Aq","Internal Standard","C3H4D3NO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DL-Alanine, D3","DL-Alanine, 2H3","DL Alanine 2H3",160401,TRUE
"DL-Histidine, 15N",157.0738,11.45,1,"HILIC",NA,2.5,"[M+H]","Aq","Internal Standard","C6H9N3N(15)O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DL-Histidine, 15N","DL-Histidine, 15N","DL Histidine 15N",160401,TRUE
"DL-Proline, 2H7",123.1145,9.49,1,"HILIC",NA,1,"[M+H]","Aq","Internal Standard","C5H3D7NO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DL-Proline, D7","DL-Proline, 2H7","DL Proline 2H7",170301,TRUE
"DL-Valine, 2H8",126.1365,9.09,1,"HILIC",NA,1,"[M+H]","Aq","Internal Standard","C5H4D8NO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DL-Valine, D8","DL-Valine, 2H8","DL Valine 2H8",170301,TRUE
"Guanosine monophosphate, 15N5",367.0364,13.85,-1,"HILIC",NA,2,"[M-H]","Aq","Internal Standard","C10H13N(15)5O8P",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guanosine monophosphate, 15N5","GMP, 15N5","GMP 15N5",170301,NA
"Isethionic acid, 13C2",126.9981,7.2,-1,"HILIC",NA,0.5,"[M-H]","Aq","Internal Standard","C(13)2H6O4S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isethionic Acid, 13C2","Isethionic acid, 13C2","Isethionic acid 13C2",160401,TRUE
"L-Cysteic acid, 2H3",171.0161,12.15,-1,"HILIC",NA,1,"[M-H]","Aq","Internal Standard","C3D3H4NO5S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Cysteic Acid, D3","L-Cysteic acid, 2H3","L Cysteic acid 2H3",160401,TRUE
"L-Isoleucine, 15N",133.0989,8.17,1,"HILIC",NA,0.5,"[M+H]","Aq","Internal Standard","C6H13N(15)O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Isoleucine, 15N","L-Isoleucine, 15N","L Isoleucine 15N",160401,TRUE
"L-Methionine, 2H3",153.0771,7.96,1,"HILIC",NA,1,"[M+H]","Aq","Internal Standard","C5D3H8NO2S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Methionine, D3","L-Methionine, 2H3","L Methionine 2H3",160401,TRUE
"Succinic acid, 2H4",121.0444,11.9,-1,"HILIC",NA,10,"[M-H]","Aq","Internal Standard","C4D4H2O4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Succinic Acid, D4","Succinic acid, 2H4","Succinic acid 2H4",160401,TRUE
"Sucrose, 13C",353.1497,11.77,-1,"HILIC",NA,5,"[M-H]","Aq","Internal Standard","C(13)12H22O11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sucrose, 13C","Sucrose, 13C","Sucrose 13C",170601,TRUE
"Sulfoacetic acid, 13C2",140.9774,13.9,-1,"HILIC",NA,2.5,"[M-H]","Aq","Internal Standard","C(13)2H4O5S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sulfoacetic Acid, 13C2","Sulfoacetic acid, 13C2","Sulfoacetic acid 13C2",160401,TRUE
"3-Sulfolactate, 13C3",171.9913,13.27,-1,"HILIC",NA,1,"[M-H]","Aq","Internal Standard","C(13)2H5O4S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sulfolactic Acid, 13C3","3-Sulfolactate, 13C3","Sulfolactate 13C3",160401,TRUE
"Taurine, 2H4",128.0325,10,-1,"HILIC",NA,1,"[M-H]","Aq","Internal Standard","C2D4H3NO3S",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Taurine, D4","Taurine, 2H4","Taurine 2H4",160401,TRUE
"Trehalose, 13C",353.1497,12.63,-1,"HILIC",NA,5,"[M-H]","Aq","Internal Standard","C(13)12H22O11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Trehalose, 13C","Trehalose, 13C","Trehalose 13C",170601,TRUE
"Glycine betaine, 13C5, 15N",124.1006,7.27,1,"HILIC",NA,1,"[M+H]","Aq","Internal Standard","C(13)5H11N(15)O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betaine, 13C5-15N","Glycine betaine, 13C5, 15N","Glycine betaine 13C5 15N",190514,TRUE
"Adenine, 15N2",138.0564,4.64,1,"HILIC",NA,1,"[M+H]","Aq","Internal Standard","C5H5N(15)2N3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Adenine, 15N2","Adenine, 15N2","Adenine 15N2",190514,TRUE
"Cytosine, 13C2, 15N3",117.0489,6.82,1,"HILIC",NA,2,"[M+H]","Aq","Internal Standard","C(13)2C2H5N(15)3O",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cytosine, 13C2-15N3","Cytosine, 13C2, 15N3","Cytosine 13C2 15N3",190514,TRUE
"Guanine, 13C, 15N2",155.0547,8.18,1,"HILIC",NA,2,"[M+H]","Aq","Internal Standard","C(13)C4H5N(15)2N3O",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Guanine, 13C-15N2","Guanine, 13C, 15N2","Guanine 13C 15N2",190514,TRUE
"Thymine, 2H4",129.0602,3.06,-1,"HILIC",NA,6,"[M-H]","Aq","Internal Standard","C5D4H2N2O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thymine, D4","Thymine, 2H4","Thymine 2H4",190514,TRUE
"Uracil, 15N2, 2H2",115.0261,3.73,-1,"HILIC",NA,8,"[M-H]","Aq","Internal Standard","C4D2H2N(15)2O2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Uracil, 15N2-D2","Uracil, 15N2, 2H2","Uracil 15N2 2H2",190514,TRUE
"Arsenobetaine, 13C2",181.0114,7.24,1,"HILIC",NA,1,"[M+H]","Aq","Internal Standard","C(13)2C3H12AsO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arsenobetaine, 13C2","Arsenobetaine, 13C2","Arsenobetaine 13C2",190715,TRUE
"Homarine, 2H3",141.0743,6.19,1,"HILIC",NA,4,"[M+H]","Aq","Internal Standard","C7D3H4NO2",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Homarine, 2H3","Homarine, 2H3","Homarine 2H3",191017,TRUE
"3',5'-Cyclic AMP",328.044698,4.06,-1,"HILIC","Mix2",4,"[M-H]","Aq","Intracellular signaling","C10H12N5O6P",NA,NA,"cpd:C00575","3',5'-Cyclic AMP; Cyclic adenylic acid; Cyclic AMP; Adenosine 3',5'-phosphate; Adenosine 3',5'-cyclic phosphate; cAMP","ChEBI:17489","(4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol","IVOMOUWHDPKRLL-KQYNXXCUSA-N","C1C2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)OP(=O)(O1)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Cyclic purine nucleotides; level 5: 3',5'-cyclic purine nucleotides","cAMP","cAMP","cAMP",160401,TRUE
"3',5'-Cyclic GMP",344.039613,8.8,-1,"HILIC","Mix2",4,"[M-H]","Aq","Intracellular signaling","C10H12N5O7P",NA,NA,"cpd:C00942","3',5'-Cyclic GMP; Guanosine 3',5'-cyclic monophosphate; Guanosine 3',5'-cyclic phosphate; Cyclic GMP; cGMP","ChEBI:16356","9-[(4aR,6R,7R,7aS)-7-hydroxy-2-oxido-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-1H-purin-6-one","ZOOGRGPOEVQQDX-UUOKFMHZSA-M","C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(O1)[O-]","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleotides; subclass: Cyclic purine nucleotides; level 5: 3',5'-cyclic purine nucleotides","cGMP","cGMP","cGMP",160401,TRUE
"3',5'-Cyclic diGMP",689.087051,13.74,-1,"HILIC","Mix2",4,"[M-H]","Aq","Intracellular signaling","C20H24N10O14P2",NA,NA,"cpd:C16463","3',5'-Cyclic diGMP; cdiGMP; 3',5'-Cyclic diguanylic acid; Bis-(3',5')-cyclic diGMP; Cyclic di-3',5'-guanylate","ChEBI:49537","2-amino-9-[(1S,6R,8R,9R,10S,15R,17R,18R)-17-(2-amino-6-oxo-1H-purin-9-yl)-3,9,12,18-tetrahydroxy-3,12-dioxo-2,4,7,11,13,16-hexaoxa-3ÃŽÂ»5,12ÃŽÂ»5-diphosphatricyclo[13.3.0.06,10]octadecan-8-yl]-1H-purin-6-one","PKFDLKSEZWEFGL-MHARETSRSA-N","C1C2C(C(C(O2)N3C=NC4=C3N=C(NC4=O)N)O)OP(=O)(OCC5C(C(C(O5)N6C=NC7=C6N=C(NC7=O)N)O)OP(=O)(O1)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: (3'->5')-dinucleotides and analogues; subclass: (3'->5')-cyclic dinucleotides and analogues; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: (3'->5')-dinucleotides and analogues; subclass: (3'->5')-cyclic dinucleotides and analogues","Cyclic diGMP","Cyclic diGMP","Cyclic diGMP",160401,NA
"2,5-Dihydroxybenzoic acid",153.018785,4.08,-1,"HILIC","Mix2",4.8,"[M-H]","Aq","Lignin","C7H6O4","C7H6O4",3469,"cpd:C00628","2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate","ChEBI:17189","2,5-dihydroxybenzoic acid","WXTMDXOMEHJXQO-UHFFFAOYSA-N","C1=CC(=C(C=C1O)C(=O)O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Hydroxybenzoic acid derivatives","Resorcylic Acid","Resorcylic acid","Resorcylic acid",160401,TRUE
"Ethyl aminobenzoate",166.086804,2.01,1,"HILIC",NA,NA,"[M+H]","Aq","Lignin","C9H11NO2",NA,NA,"cpd:C07527","Benzocaine; Ethyl aminobenzoate","ChEBI:116735","ethyl 4-aminobenzoate","BLFLLBZGZJTVJG-UHFFFAOYSA-N","CCOC(=O)C1=CC=C(C=C1)N","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Benzoic acid esters; kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Benzoic acid esters","Ethyl 3 aminobenzoate","Ethyl aminobenzoate","Ethyl aminobenzoate",NA,FALSE
"Ethyl dihydroxybenzoate",181.050085,2.08,-1,"HILIC","Mix2",4,"[M-H]","Aq","Lignin","C9H10O4",NA,NA,NA,NA,NA,"ethyl 3,5-dihydroxybenzoate","APHYVLPIZUVDTK-UHFFFAOYSA-N","CCOC(=O)C1=CC(=CC(=C1)O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Benzoic acid esters; level 6: m-Hydroxybenzoic acid esters","Ethyl Dihydroxybenzoate","EDHB","Ethyl dihydroxybenzoate",160401,TRUE
"L-Homocystine",269.062977,12.58,1,"HILIC","Mix1",4,"[M+H]","Aq","Amino Acid derivative","C8H16N2O4S2","C8H16N2O4S2",439579,"cpd:C01817","L-Homocystine; Homocystine","ChEBI:141698","(2S)-2-amino-4-[[(3S)-3-amino-3-carboxypropyl]disulfanyl]butanoic acid","ZTVZLYBCZNMWCF-WDSKDSINSA-N","C(CSSCCC(C(=O)O)N)C(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acids; level 8: L-alpha-amino acids","Homocystine","Homocystine","Homocystine",170331,TRUE
"2-Hydroxy-4-(methylthio)butyric acid",149.027242,2.69,-1,"HILIC","Mix1",5,"[M-H]","Aq","Sulfur","C5H10O3S","C5H10O3S",11427,NA,NA,NA,"2-hydroxy-4-methylsulfanylbutanoic acid","ONFOSYPQQXJWGS-UHFFFAOYSA-N","CSCCC(C(=O)O)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acids and conjugates; level 5: Thia fatty acids","2-Hydroxy-4-(methylthio)butyric_acid","2-Hydroxy-4-(methylthio)butyric_acid","Hydroxy 4 methylthio butyric acid",170331,TRUE
"L-Arginosuccinic acid",291.13046,13.69,1,"HILIC","Mix1",4,"[M+H]","Aq","Urea cycle","C10H18N4O6",NA,NA,"cpd:C03406","N-(L-Arginino)succinate; 2-(Nomega-L-Arginino)succinate; L-Argininosuccinate; L-Argininosuccinic acid; L-Arginosuccinic acid","ChEBI:15682","(2S)-2-[[N'-[(4S)-4-amino-4-carboxybutyl]carbamimidoyl]amino]butanedioic acid","KDZOASGQNOPSCU-WDSKDSINSA-N","C(CC(C(=O)O)N)CN=C(N)NC(CC(=O)O)C(=O)O","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Aspartic acid and derivatives","Argininosuccinic Acid","Argininosuccinate","Argininosuccinate",170331,TRUE
"Carnitine",162.113019,10.21,1,"HILIC","Mix1",1,"[M+H]","Aq","New","C7H15NO3","C7H15NO3",288,"cpd:C00487","Carnitine; gamma-Trimethyl-hydroxybutyrobetaine; 3-Hydroxy-4-trimethylammoniobutanoate","ChEBI:17126","3-hydroxy-4-(trimethylazaniumyl)butanoate","PHIQHXFUZVPYII-UHFFFAOYSA-N","C[N+](C)(C)CC(CC(=O)[O-])O","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Quaternary ammonium salts; level 5: Carnitines","Carnitine","Carnitine","Carnitine",170331,TRUE
